"","lsoa_code","lsoa_name","BAME_2011_perc","no_qualifications_perc","household_median_income","carownership_perc","la_code","la_name","food_pt","food_car","food_walk","avg_age","f_dairy","f_eggs","f_fats_oils","f_sweets","f_grains","f_sauces","f_fruit_veg","f_fish","f_meat_red","f_poultry","f_readymade","f_soft_drinks"
"2396","E01000575","Brent 007D",68.7870619946092,13.5,37393.5235477094,68.2,"E09000005","Brent",6.31806405332511,6.31806405332511,4.10976001790009,35.68457711,0.139724761771752,0.0114736310604514,0.0310045873038041,0.16979469935434,0.149103488284649,0.00941095581362869,0.281361795386913,0.0143527819258081,0.0365802563303718,0.0165228881750696,0.0391908296896318,0.032970574648432
"2397","E01000577","Brent 007E",76.9834710743802,19.4,25469.1944547861,58.3,"E09000005","Brent",6.13561153038654,6.13561153038654,3.93818415983898,31.17045455,0.121238268914291,0.0146777565271539,0.0309923052973358,0.173179735800383,0.166347907307744,0.010203264688876,0.253071209358182,0.0163412356002313,0.0364720010674732,0.0194102210559089,0.0445759017924654,0.035573544455811
"2398","E01000562","Brent 008A",75.2583979328165,11.7,51160.2260961417,87.9,"E09000005","Brent",7.31108328090407,7.31108328090407,8.83485405097955,42.09610215,0.118605318288898,0.013960725679564,0.0356146283369698,0.144631727183428,0.143458191712232,0.0150907968740492,0.335752844736911,0.0207759242678443,0.034501942853169,0.0176204177786277,0.0466719403322409,0.0228709024053131
"2399","E01000563","Brent 008B",73.1081081081081,13.1,47554.5032266366,92,"E09000005","Brent",6.27394516210634,6.27394516210634,5.18934585887275,44.07355021,0.139631819319319,0.0137637637637638,0.0319147272272272,0.15210523023023,0.150259634634635,0.0131459584584584,0.31321946946947,0.0179554554554554,0.0326341966966967,0.019801051051051,0.0419951201201201,0.018041478978979
"2400","E01000566","Brent 008C",69.2508143322476,16.8,41466.2910760545,85.7,"E09000005","Brent",7.52934728331264,7.52934728331264,8.19587366600107,39.84473684,0.112652001639568,0.0164412260327003,0.0342108059692429,0.148213933293862,0.151197036632205,0.0120310910719436,0.309013071002414,0.0181718814045635,0.0413915076437279,0.023424572270043,0.0484279880372243,0.024836422704984
"2401","E01000568","Brent 008D",60,6.7,45789.9327197218,48.7,"E09000005","Brent",6.97191869109785,6.97191869109785,8.18984758937368,30.16633598,0.102047129714316,0.0149028891160489,0.0288104589229031,0.141389142949373,0.146231236885996,0.0152929466831657,0.306867703233443,0.0226502394146446,0.0458519395276268,0.0227443912411901,0.0656103728412331,0.0227847420239953
"2402","E01000569","Brent 008E",68.5623003194888,12.5,46985.3955248316,90.4,"E09000005","Brent",7.64312492829243,7.64312492829243,6.88979179007587,42.18014956,0.119758082447636,0.0141118572212093,0.036576688753502,0.15705370510369,0.143186433643142,0.0125702257600688,0.331057944590208,0.0188998087784053,0.0356872859874594,0.018114169668401,0.0401194764382384,0.0249255125183439
"2403","E01000479","Brent 009A",68.414707655214,17.4,47293.6797176587,86.3,"E09000005","Brent",7.07560796603844,7.07560796603844,8.42707830926206,39.7837181,0.109252504926005,0.0117804888274012,0.0359912799228609,0.156500230578963,0.15570368507106,0.0176078480694252,0.300549197165975,0.0230998197291745,0.0410011319330902,0.0168322642854148,0.0419234477843458,0.0262231165891083
"2404","E01000481","Brent 009B",70.6111833550065,16.6,28055.4967035577,59.5,"E09000005","Brent",7.92527856570441,7.92527856570441,7.32070495269071,34.87434555,0.0971829157471115,0.0125405686096326,0.0288718681033364,0.171517590549137,0.165753602492535,0.0124367129689731,0.264909775412177,0.0180708814747501,0.0462936518239647,0.0190315461508503,0.0610671167077762,0.0319875373231209
"2405","E01000482","Brent 009C",74.7054747054747,20.3,24789.9146360344,50,"E09000005","Brent",7.0771874605718,7.0771874605718,5.65114916084188,34.2504157,0.104465596438888,0.0112705403229625,0.0345456267462234,0.176303452194914,0.163943742008808,0.013756688923616,0.238433489605531,0.0181607235876308,0.0465501728465218,0.0212861675427381,0.0458398446749065,0.0430222095941658
